id,name,latitude,longitude,altitude
,Starling,49.1040007,29.2092738,100
,Lakeland,46.801046,98.0983756,100
,Kropf,45.8022541,17.497172,100
,Heffernan,42.930418,1.7243511,100
,Menomonie,23.422152,106.681138,100
,Holy Cross,35.133333,-2.933333,100
,International,14.8572534,120.6213379,100
,Hoard,30.63963,114.385538,100
,Continental,-4.5456848,18.5997498,100
,Derek,47.3892142,0.6942885,100
,David,20.0932902,99.8013351,100
,Del Mar,7.2676037,-8.1447804,100
,Rieder,29.233038,56.6008972,100
,Aberg,58.999782,55.8855974,100
,Armistice,59.4953899,18.3229434,100
,Cody,5.8837714,38.9824579,100
,Corry,50.3290055,30.4617625,100
,Iowa,27.0874564,114.9042208,100
,Hayes,8.3351462,124.9801262,100
,Magdeline,32.149961,34.8838788,100
,Summit,11.6932207,-84.4540213,100
,Dwight,48.23821,23.5457018,100
,Esker,-23.7461236,-46.3958816,100
,Crescent Oaks,17.3124678,97.0149006,100
,Meadow Vale,59.8095749,29.9755395,100
,Hanover,31.438589,104.618817,100
,Scofield,2.1514272,11.3317605,100
,Vera,-31.4149049,-64.1467066,100
,New Castle,19.3579802,-99.0806088,100
,Killdeer,63.537266,23.6993197,100
,Butterfield,37.3716902,-7.5934261,100
,Tony,36.25745,112.891275,100
,Judy,38.2498796,-7.9000381,100
,Oak Valley,28.39571,107.752611,100
,Service,-19.4746347,-42.5264409,100
,Sunfield,6.0343516,124.5217429,100
,Blackbird,-6.2167736,106.5230542,100
,Holy Cross,-8.844744,121.648987,100
,Gateway,-7.5450262,111.6556388,100
,Commercial,36.9549975,65.1254488,100
,Briar Crest,-2.688962,111.622398,100
,La Follette,41.0882428,-7.5686677,100
,Laurel,-29.5700426,-50.7927755,100
,Monica,42.7981285,1.5693759,100
,Sycamore,4.6333268,9.4450439,100
,Meadow Ridge,52.2228424,17.2749897,100
,Ridge Oak,38.5603056,-121.4970294,100
,Carpenter,52.5010192,48.0923303,100
,Rieder,-8.6595,120.7129,100
,Dakota,35.1274285,-80.8599193,100
,Mockingbird,48.8171378,2.4196694,100
,Ridge Oak,-19.5722805,-65.7550063,100
,Swallow,45.4140943,18.8413976,100
,Sherman,10.2593261,123.7567626,100
,Rusk,56.16667,22.1,100
,Hauk,23.460728,113.151596,100
,Darwin,53.5760481,16.5355185,100
,Hintze,56.0396207,14.1636617,100
,Crownhardt,2.4183904,30.9847642,100
,Village Green,-41.4332215,147.1440875,100
,Paget,-6.7543488,108.4602464,100
,Saint Paul,54.16967,21.13909,100
,Corben,49.0261841,1.1518478,100
,Fairfield,25.941937,117.365052,100
,Dryden,31.953702,118.839685,100
,Upham,-24.1377718,19.1107114,100
,Autumn Leaf,55.6760366,12.5657728,100
,Maywood,46.987383,123.769368,100
,Lerdahl,22.358416,114.128354,100
,Parkside,-17.3652664,30.1935663,100
,Lakewood Gardens,8.8469761,7.0605998,100
,Knutson,54.0026343,-6.4202878,100
,Texas,33.723039,-84.3436881,100
,Dottie,52.6004448,-8.9706844,100
,Arrowood,53.2993199,-6.2340942,100
,Fremont,36.1560347,68.0477509,100
,Garrison,60.4165735,24.3256379,100
,Golf Course,57.9642094,12.1438774,100
,Hudson,46.6199614,104.5658605,100
,Lighthouse Bay,44.5209494,19.7483781,100
,Lotheville,10.1765144,122.890937,100
,Declaration,35.3113485,25.313023,100
,Upham,29.654838,91.140552,100
,Cardinal,43.7504777,19.7142007,100
,Linden,30.1631687,71.5263363,100
,Forest Run,40.2328952,141.2968609,100
,Russell,21.8628802,106.5377839,100
,Lotheville,40.9109489,49.0729264,100
,Raven,30.2427011,120.1502699,100
,Beilfuss,1.5484759,103.7983752,100
,Atwood,46.1998296,47.9221616,100
,Anthes,50.4398775,3.3941571,100
,Almo,43.3152889,-1.9514657,100
,Columbus,15.016667,-85.75,100
,Corry,59.2691081,17.8651957,100
,Graceland,-14.8483688,-39.5485087,100
,Mcguire,-6.2202997,106.8142131,100
,Pankratz,27.318852,115.444319,100
,Michigan,10.097212,-83.504629,100
,Toban,23.134117,106.417805,100
,Towne,45.697904,0.964671,100
,Rieder,22.7918505,100.9840933,100
,Kenwood,14.3705235,120.8168869,100
,Haas,-23.7047572,-49.4823246,100
,Vera,27.0568,27.96979,100
,Carey,38.7226348,-9.0038291,100
,Raven,14.4349111,102.1632718,100
,Schlimgen,49.1025395,2.0362602,100
,Charing Cross,-34.6057351,-58.4882729,100
,Drewry,47.6938287,33.3173912,100
,Homewood,55.3699174,73.2223964,100
,Dwight,26.6674,113.449709,100
,Ridge Oak,41.2115446,-8.1699995,100
,Surrey,15.1249413,-88.4415998,100
,Rowland,43.6943099,2.0376775,100
,Bayside,45.8272842,20.4615173,100
,Utah,22.948016,113.366904,100
,Talisman,49.0225427,17.6411818,100
,Dunning,42.76631,129.427066,100
,Ohio,43.661922,128.500964,100
,Fairview,-6.1382732,-77.0967357,100
,Iowa,52.8066236,29.4258895,100
,Brentwood,-7.1221059,106.5701927,100
,Calypso,9.7441,125.535149,100
,Stang,19.258341,110.474648,100
,Summerview,25.748455,116.747009,100
,Elmside,-5.6202503,-78.4695111,100
,Birchwood,44.9280296,4.8932938,100
,Becker,45.4744072,39.8789122,100
,Lillian,53.45,62.9833329,100
,Oakridge,-0.5388381,37.4596409,100
,Lotheville,13.6119882,99.6118667,100
,Northview,28.563927,108.50387,100
,Anhalt,40.4810579,50.1454455,100
,Parkside,55.876771,37.4690832,100
,Rockefeller,-5.9640712,34.1225927,100
,Elmside,-37.7912944,-58.8489331,100
,Shoshone,55.7443873,37.6001786,100
,Acker,46.2201972,-64.5346866,100
,Harbort,-27.92295,24.83446,100
,Chive,14.4103464,-88.9521595,100
,Sunfield,49.4679131,18.2282007,100
,Hanover,52.8807868,20.6745586,100
,Burrows,30.3617348,-81.6966306,100
,Dovetail,-7.1259703,112.4023244,100
,Montana,5.4196539,100.330856,100
,Morning,40.7284708,-73.7830184,100
,Paget,39.4621054,-8.1986484,100
,Park Meadow,10.789771,-74.755201,100
,Jana,41.0953745,-7.8123805,100
,Burrows,22.7238445,-80.9041817,100
,Esch,-32.9576242,-68.7400523,100
,Toban,26.05045,118.775821,100
,Melvin,9.0028747,-79.7301725,100
,Acker,11.463645,122.7992318,100
,Del Mar,49.8853772,18.0624625,100
,Browning,38.9,-77.04,100
,Pine View,41.5821392,-8.5477188,100
,Emmet,54.7674474,58.2897934,100
,Vahlen,61.4559668,23.7382315,100
,Bunting,53.0803781,85.6747154,100
,Almo,-17.5093929,14.9885388,100
,Grover,30.375526,104.053225,100
,Darwin,43,-87.97,100
,Bunting,15.3569408,120.5288453,100
,Carpenter,-8.2206994,124.5029869,100
,Carberry,41.76,-72.69,100
,Fisk,45.5483729,-75.2916118,100
,American,2.389011,-75.8942469,100
,Monica,31.029897,105.220236,100
,Wayridge,59.2442754,18.0084483,100
,Golf Course,39.6920939,-8.4272356,100
,Lunder,36.1398393,128.1135947,100
,Monterey,29.272581,104.874073,100
,Green Ridge,28.685085,115.899262,100
,Mallard,22.200895,-97.8531153,100
,Pennsylvania,52.4767935,13.2962036,100
,Burning Wood,57.9788789,33.243615,100
,Sutteridge,42.6503176,77.0852258,100
,Northview,9.936763,3.2131232,100
,Morningstar,6.5060695,18.2763069,100
,Becker,38.487193,106.230908,100
,Tennyson,46.6750305,4.3642884,100
,Hudson,-6.2056665,107.0251946,100
,Comanche,18.0559583,106.2992912,100
,Ludington,25.9813294,-100.4490239,100
,Ryan,32.6938737,51.6044276,100
,Caliangt,31.364902,108.249509,100
,Sugar,48.792001,2.39851,100
,Pine View,23.378505,113.832363,100
,Pearson,45.6629694,6.3760602,100
,New Castle,-7.4582767,109.4363225,100
,Oxford,43.0429124,1.9038837,100
,Stoughton,-6.7821701,-39.0293884,100
,Calypso,16.67064,121.71581,100
,Grover,61.4559668,23.7382315,100
,Ridgeview,41.1150364,-8.2958281,100
,Petterle,40.5753726,-8.5463483,100
,Springview,45.1159196,37.4153937,100
,Washington,47.0170479,-68.1430238,100
,Springview,46.5448561,15.0941863,100
,Westport,31.975314,35.196042,100
,Sauthoff,42.0256471,24.1082622,100
,Hauk,46.71034,84.046436,100
,Garrison,52.2445931,104.2483085,100
,Graedel,-7.2290752,-35.8808337,100
,Straubel,-31.9421308,-65.1916804,100
,Tomscot,-1.7879521,-79.2873953,100
,Golf Course,40.3942251,-7.8103942,100
,Barby,-6.3651357,106.7617984,100
,Heath,50.6797247,14.6466542,100
,Ryan,14.061619,46.914966,100
,Northwestern,34.646636,103.48159,100
,Messerschmidt,-13.3261109,-74.9975,100
,Village,-6.7306,111.388,100
,Pleasure,36.5292176,-6.2940354,100
,Glendale,25.130594,109.768451,100
,Eagan,-7.6568317,110.3392399,100
,Jenna,40.2213038,44.271441,100
,Mallard,37.365238,120.44763,100
,Eliot,56.4399654,59.1220846,100
,Brickson Park,-8.5207109,127.0024533,100
,Meadow Vale,-22.6475546,-47.1947232,100
,Veith,13.5122393,-88.8694951,100
,Mcguire,54.5412717,18.0936055,100
,Grasskamp,48.1067292,20.8193403,100
,Bartillon,23.081394,107.143432,100
,Mayfield,-7.347756,108.8818859,100
,Namekagon,-6.162959,35.7516069,100
,Lakewood,40.846108,14.2352339,100
,Sage,31.598422,35.026375,100
,Clyde Gallagher,35.585575,119.761775,100
,Kedzie,7.813374,123.362634,100
,Dovetail,30.318685,119.725587,100
,Donald,29.0661274,31.0993845,100
,Milwaukee,54.2787562,18.5760979,100
,Kinsman,41.631471,42.1907465,100
,Leroy,-32.3927221,-57.968819,100
,Saint Paul,27.021596,117.879608,100
,Grayhawk,-7.0453363,108.2347863,100
,Golf,41.62315,112.52687,100
,Rusk,-1.0387569,37.0833753,100
,Esch,-8.5068536,115.2624778,100
,Mallard,9.7457208,123.8401962,100
,Nancy,39.6532428,-8.8604748,100
,Sachs,49.369115,3.338092,100
,Clemons,7.2863231,81.6779369,100
,Redwing,14.5919106,121.0228804,100
,Bultman,60.6569706,23.1385333,100
,Dawn,50.025483,16.2590848,100
,Corry,43.4009223,45.5278152,100
,Warrior,62.4144225,17.2870792,100
,Morningstar,36.1296961,-79.8567326,100
,Hauk,48.7320309,16.905384,100
,Kingsford,46.3395131,16.1537893,100
,Fisk,49.6321945,16.7112603,100
,Northview,49.8229025,16.9204034,100
,Grover,-0.5133517,166.9484624,100
,West,40.6878581,46.3723313,100
,Ridgeway,32.096344,118.909159,100
,Clarendon,15.482604,-90.308511,100
,Cordelia,49.8229025,16.9204034,100
,Michigan,47.8417718,-0.3419882,100
,Stuart,-16.4078661,-49.1828385,100
,Monica,38.7122242,-9.2688282,100
,Graedel,29.9246825,-90.0163544,100
,Lawn,31.624522,117.890354,100
,Lunder,18.0354673,-76.7195828,100
,Bashford,10.103645,123.6419711,100
,Heath,19.5903471,37.1901616,100
,Waywood,37.800886,-25.6125131,100
,Northview,30.214647,20.1402594,100
,Oakridge,24.771797,103.290785,100
,Coleman,16.0001974,120.6583327,100
,Menomonie,3.957378,126.679524,100
,Bayside,23.027474,113.082487,100
,Quincy,60.4609132,25.0250415,100
,David,13.2805504,-87.1285725,100
,Blue Bill Park,-7.7911198,-79.2197376,100
,Hoepker,51.2217758,19.877027,100
,Acker,32.240853,120.2326771,100
,Larry,45.4698284,13.6405292,100
,6th,50.5416699,40.0498042,100
,International,-8.0038635,113.7216313,100
,Westerfield,-15.6969314,-39.4450281,100
,Ridgeview,31.336174,109.898233,100
,Sheridan,53.302644,-9.159604,100
,Comanche,15.2784628,-87.5847613,100
,Oakridge,12.4860074,13.2057597,100
,Oriole,-27.593609,-48.5027406,100
,Armistice,7.1807223,124.2218256,100
,Independence,41.805137,123.4699481,100
,Arkansas,17.1522786,-89.0800227,100
,Debs,35.066619,116.311532,100
,Packers,-28.3276327,-50.9289246,100
,Tennyson,41.3879567,-75.6499025,100
,Northland,33.1837961,-97.1305536,100
,Declaration,-34.5906948,-58.4794982,100
,Emmet,14.5699334,121.0204582,100
,Bayside,-31.4325479,-64.1305924,100
,Oriole,18.3653596,-76.8922729,100
,Everett,28.524376,113.233807,100
,Moland,39.0105228,-95.6931356,100
,Morningstar,59.2784304,11.0933783,100
,Acker,2.266733,-75.803848,100
,South,48.7853082,2.072661,100
,Fair Oaks,51.9309558,113.643677,100
,Arrowood,35.490701,112.851831,100
,Elgar,41.240005,-7.3038414,100
,Anderson,41.118436,-8.0408995,100
,Michigan,56.8335579,24.4954399,100
,Monument,-7.55,111.283333,100
,Havey,49.6163992,19.3518952,100
,Rowland,41.3458989,19.5657349,100
,Hooker,40.4498285,-8.0628862,100
,Briar Crest,49.465597,16.1555481,100
,Mccormick,30.7016468,104.0663422,100
,Harbort,61.0502894,61.9767161,100
,Merry,-22.4206096,-41.8625084,100
,Saint Paul,22.720974,114.246899,100
,Sunnyside,-27.5283814,-59.5741045,100
,New Castle,50.4213981,37.8304992,100
,Schmedeman,60.0785015,15.0265478,100
,Charing Cross,20.01693,-75.8301537,100
,Golf Course,-12.0904353,-77.069999,100
,Dottie,55.612118,-2.7795629,100
,Donald,-29.8697861,31.0462562,100
,Laurel,-5.6935288,105.5826123,100
,Melby,6.4096168,1.8855057,100
,Pawling,12.333333,121.1500015,100
,Shelley,11.4752,124.5324,100
,Briar Crest,20.3650844,-76.4302771,100
,Dexter,41.356361,82.63142,100
,South,50.4198861,4.9246444,100
,Northland,55.796264,37.719368,100
,Blue Bill Park,44.346784,5.8855505,100
,Sunbrook,35.8914242,14.5320278,100
,Fordem,2.7991084,44.0793911,100
,Summerview,-21.8737026,-51.8452266,100
,Lighthouse Bay,-6.5627613,106.0669571,100
,Crownhardt,13.2874832,6.301229,100
,Reinke,35.8965072,14.4545529,100
,Anthes,-13.2830688,-176.1783832,100
,Sutteridge,31.121239,121.370354,100
,Butterfield,43.7441795,2.511999,100
,Scofield,41.2525891,-7.8102718,100
,North,23.106401,113.459749,100
,Waywood,19.782027,-99.0598732,100
,Harper,24.737065,118.630289,100
,Mosinee,56.076372,35.9263157,100
,Dovetail,-7.2030729,112.0237903,100
,Pierstorff,38.067932,111.797083,100
,Scofield,4.6333268,9.4450439,100
,Petterle,16.879252,121.586713,100
,Stone Corner,24.168957,102.405819,100
,Sage,47.3410322,1.1586866,100
,Eagle Crest,10.74044,-74.755272,100
,Doe Crossing,-10.3112236,40.1759806,100
,Scofield,6.1762714,125.1903191,100
,Summit,34.351432,107.387303,100
,Grover,42.142214,21.688555,100
,Meadow Ridge,-6.898384,111.885002,100
,Corben,35.8523575,66.5223902,100
,Maple Wood,48.465994,-67.4324153,100
,Pierstorff,7.1018539,125.5626726,100
,Holy Cross,47.9544744,-2.0532343,100
,Hauk,22.9550072,113.0126011,100
,Lyons,-11.6110008,43.2853868,100
,Stephen,45.8206187,-73.9300943,100
,Hallows,31.9617032,119.5738403,100
,Lillian,7.0913555,5.1484196,100
,Bluejay,59.6443858,33.541032,100
,Dawn,12.7684177,-87.1310668,100
,South,-7.5450262,111.6556388,100
,Sunbrook,-8.3932,114.8028,100
,Manley,51.8925608,21.4872815,100
,Grover,50.0843138,12.4747444,100
,Golden Leaf,26.8503552,90.960716,100
,Vernon,13.7178702,-87.6953979,100
,Mallory,19.5473972,-96.9121929,100
,Northridge,3.9356389,41.8551162,100
,Crowley,52.83797,15.83104,100
,Lighthouse Bay,41.631154,42.3915567,100
,Anzinger,49.1055022,28.1576316,100
,Anhalt,25.386379,114.922922,100
,Waubesa,-34.3867245,-72.0047731,100
,Mccormick,31.18458,115.026045,100
,Eliot,61.3602942,63.5639414,100
,Parkside,29.657856,116.30275,100
,Hanover,33.308897,87.768212,100
,Schurz,54.9794837,50.3850925,100
,Dexter,58.2084997,54.707343,100
,Division,37.9380466,-8.184571,100
,Nova,16.80778,48.10917,100
,Service,43.6947273,43.278773,100
,Maple Wood,-27.6618869,-51.2422395,100
,Autumn Leaf,-6.995577,112.9862557,100
,Hauk,-8.6332229,121.5598345,100
,Crownhardt,44.533814,86.325054,100
,Garrison,57.7193237,11.9120278,100
,Shoshone,36.7806554,137.0779342,100
,Golden Leaf,40.7525629,-73.976024,100
,Buhler,-7.340531,112.7077638,100
,Warbler,44.0519136,42.8429639,100
,Victoria,29.584292,111.380014,100
,Rigney,6.1360612,10.2572084,100
,Sommers,40.1976461,124.5351538,100
,Lawn,59.853262,17.6356163,100
,Manufacturers,-9.6447416,124.779603,100
,Marcy,-10.170262,123.6427533,100
,Morrow,57.8852519,25.4597761,100
,Merrick,41.2479207,-8.3626963,100
,Milwaukee,48.2660539,0.768419,100
,Lighthouse Bay,9.3226016,13.393389,100
,Mccormick,29.584292,111.380014,100
,Melody,56.1060907,38.1392419,100
,Meadow Valley,37.2406676,55.1596592,100
,Russell,44.30672,85.871393,100
,Weeping Birch,-8.1654,124.5403,100
,Corben,35.3387006,25.1443698,100
,Eggendart,28.0367067,104.121341,100
,Cherokee,24.804232,98.296657,100
,Raven,39.6920939,-8.4272356,100
,Mockingbird,-7.1504031,-34.9625932,100
,Loomis,-6.1240368,106.1009082,100
,Hudson,10.9015165,-64.0857232,100
,Schmedeman,34.9563216,33.4271403,100
,Heffernan,59.6443858,33.541032,100
,Warbler,40.835835,-7.8169615,100
,Kedzie,44.2682727,19.8906547,100
,Summerview,43.981544,87.504934,100
,Northfield,-24.1973637,-65.2994788,100
,Forster,59.9112915,10.7140212,100
,Bluestem,59.1499143,9.6586061,100
,Hansons,-8.3864643,123.2293021,100
,Donald,34.8511873,-92.3320235,100
,Nevada,45.396383,4.3258963,100
,Chive,29.93442,114.842366,100
,Clarendon,-10.2876794,123.8969328,100
,Hallows,45.2977605,2.5135985,100
,Saint Paul,-8.1807254,113.6055854,100
,Anhalt,44.3703217,40.8103225,100
,Ridge Oak,43.6356348,-84.2601444,100
,Fisk,43.4945737,5.8978018,100
,Kinsman,1.008763,104.470164,100
,Lotheville,40.5594866,-80.2031288,100
,Loomis,30.823054,110.973252,100
,Anniversary,40.7576842,23.1342184,100
,Little Fleur,60.4872057,15.4102793,100
,Marcy,37.5615702,140.7512365,100
,Fairfield,19.3508272,-81.2085052,100
,Continental,43.654415,24.850714,100
,Derek,-7.4104934,110.3279026,100
,Manitowish,27.5277132,57.8651371,100
,Green,61.6515876,26.7707405,100
,Holmberg,-14.96617,-73.3855899,100
,Becker,-7.0487503,108.5314753,100
,Monument,44.6939722,18.9959549,100
,Lighthouse Bay,53.806868,-9.1327273,100
,Warrior,54.4122067,18.4916795,100
,7th,42.4938831,42.1102682,100
,Old Shore,53.2692817,50.991078,100
,Main,-18.6476779,-173.9836854,100
,Lighthouse Bay,-22.7691646,-43.6950804,100
,Atwood,25.941937,117.365052,100
,Lakewood Gardens,30.8337059,35.6160558,100
,Bashford,38.7255705,-9.4472984,100
,Hooker,33.2991249,117.2408191,100
,Linden,45.7593122,4.969422,100
,Morrow,14.1967923,121.4019727,100
,Independence,-43.5210758,172.6317809,100
,Eggendart,15.429396,100.0501736,100
,Havey,9.915551,-84.031286,100
,Canary,7.7521794,123.1436468,100
,John Wall,14.7525179,-61.1759005,100
,Golden Leaf,30.2638032,102.8054753,100
,Bowman,30.427416,113.367059,100
,Bellgrove,34.052996,-118.2548551,100
,Magdeline,50.877972,17.4803923,100
,Nevada,44.9688472,-93.1315648,100
,Center,22.746191,114.136954,100
,Randy,-36.9060236,174.8893277,100
,Texas,33.467588,104.285114,100
,Delaware,45.7608815,4.26286,100
,Kennedy,41.9437159,20.006257,100
,High Crossing,6.2792612,-57.5391225,100
,Bunker Hill,-8.1462,115.0596,100
,Browning,-34.3788739,-58.7024688,100
,Rowland,-7.0715432,111.9758606,100
,Ryan,30.74774,67.70846,100
,Londonderry,-5.5844754,105.4771084,100
,Mayer,39.9592176,44.600243,100
,Northport,14.6539775,121.0288525,100
,Springs,9.939624,126.065213,100
,Sloan,45.2581286,17.8291657,100
,Grover,53.2544872,14.4927021,100
,Lien,-6.490877,106.7952511,100
,Rieder,53.6897029,15.1379238,100
,Heffernan,48.433225,123.220598,100
,Doe Crossing,13.6205,122.8913,100
,Oriole,27.522725,112.507849,100
,Straubel,28.846966,120.728801,100
,8th,38.3884463,-8.1572713,100
,Hoard,19.4052965,-99.1504583,100
,Cambridge,-20.9977174,27.3352044,100
,Village,-11.72447,-75.773888,100
,Farwell,28.6517195,-100.5577685,100
,Basil,6.2541441,6.2057449,100
,Nova,63.0097972,18.1864547,100
,Main,-9.6993439,119.9740534,100
,Utah,64.1775401,25.9658805,100
,Iowa,23.1497287,113.3227193,100
,Daystar,45.6110839,19.5361203,100
,Garrison,34.513586,108.317445,100
,Ryan,57.7947889,13.4205162,100
,Bunker Hill,39.9727653,116.4284919,100
,Ruskin,2.384507,-75.542888,100
,Onsgard,22.529403,103.93935,100
,Steensland,31.8123014,34.7770192,100
,Alpine,26.1045921,127.6904441,100
,Clarendon,37.1306168,-7.650062,100
,Granby,5.042569,-75.514771,100
,Pennsylvania,29.56492,121.52229,100
,Ohio,14.26528,-90.12694,100
,Dwight,54.2048528,73.5658901,100
,Mendota,30.619516,110.400306,100
,Lake View,29.714699,118.337521,100
,Drewry,-22.4101426,-47.5717516,100
,Manley,29.891868,119.574295,100
,Norway Maple,15.7571229,121.549796,100
,Declaration,53.7322394,33.3332803,100
,Mifflin,16.1160065,100.8451467,100
,Mockingbird,12.4069994,4.647618,100
,Golden Leaf,49.94712,22.82395,100
,Schmedeman,25.66788,110.547966,100
,Sloan,-24.7762704,25.4141193,100
,Division,31.121239,121.370354,100
,Mallory,52.222516,6.7371965,100
,Tennessee,51.3798501,20.2757746,100
,High Crossing,7.4687521,146.139336,100
,Heath,20.2218201,-75.9869609,100
,Linden,-38.25,-72.6833,100
,School,46.160492,15.8724103,100
,Forest Run,25.575165,111.824739,100
,Crest Line,-34.3306245,-58.7896017,100
,East,-17.2425,-70.4083333,100
,Eggendart,5.527995,-75.459881,100
,Transport,14.6046369,121.0526928,100
,Lien,55.8065475,38.1784959,100
,Sachtjen,32.3295438,49.0943433,100
,Vermont,15.3445135,104.1560983,100
,Loomis,-5.667322,119.648399,100
,Susan,55.8389853,37.1414146,100
,Meadow Vale,49.7917105,18.3442739,100
,Park Meadow,45.7013243,-73.9284855,100
,Kedzie,-28.9427186,-51.5507365,100
,Briar Crest,24.4192041,89.5515678,100
,Truax,38.3927202,23.7930669,100
,Fordem,34.395562,113.740529,100
,Summerview,32.187849,119.425836,100
,Grayhawk,28.164972,109.379021,100
,Menomonie,21.8628802,106.5377839,100
,Onsgard,44.9398868,20.4626509,100
,High Crossing,46.0675028,44.4160763,100
,Helena,38.6,-121.45,100
,Buena Vista,1.4403613,10.5718086,100
,4th,42.3106792,23.7647948,100
,6th,24.288578,116.122523,100
,Lakeland,-6.846562,107.601407,100
,Utah,11.3421375,-73.0405277,100
,Briar Crest,-34.9284989,138.6007456,100
,Hanover,-8.6854551,115.2623991,100
,Stuart,-21.0106742,-48.2176007,100
,Farragut,40.8875343,19.5880506,100
,Hoffman,49.0225427,17.6411818,100
,Little Fleur,46.4270739,16.5473979,100
,Jackson,33.7311229,130.5200852,100
,Rutledge,-29.942289,-50.9907877,100
,Brentwood,34.799583,137.3616256,100
,Del Sol,39.9179113,22.595535,100
,Badeau,43.4945737,5.8978018,100
,American,31.02364,121.215916,100
,Lighthouse Bay,38.47436,106.239679,100
,Aberg,-7.1665502,111.9969626,100
,Dryden,-9.367769,-36.1545404,100
,Lawn,51.3798501,20.2757746,100
,Bartelt,67.62834,64.08965,100
,Superior,40.0196006,44.4229372,100
,Pepper Wood,-19.6499319,-45.2243578,100
,Tony,-12.6339242,28.0537367,100
,Carioca,50.3901526,106.1051454,100
,Barnett,24.3482735,116.6988851,100
,Center,-6.939153,112.3188749,100
,Bunting,37.943121,115.217658,100
,Muir,12.9447713,121.7248195,100
,Hudson,59.3398021,18.0802922,100
,Laurel,47.594843,1.3155028,100
,Sutteridge,45.5458137,18.28907,100
,Glendale,51.8885086,-8.445614,100
,American,5.465831,95.4227312,100
,Kinsman,36.276526,109.351019,100
,Acker,48.3909721,-4.4854059,100
,Fordem,30.643939,104.045346,100
,Rusk,63.0077349,16.6652363,100
,Warbler,28.650072,121.261886,100
,Mccormick,53.8533151,-8.9949917,100
,Brown,6.6753696,124.5444219,100
,Coolidge,-3.6988282,-42.5901672,100
,Elgar,22.948016,113.366904,100
,Burning Wood,52.0404442,8.4770585,100
,Menomonie,43.8562586,18.4130763,100
,David,50.9614392,21.2804169,100
,Fairview,52.1412597,20.8418962,100
,Center,12.3576715,29.2378899,100
,Declaration,42.7981285,1.5693759,100
,Becker,48.9901636,17.3326946,100
,Hovde,50.817118,18.880399,100
